list_name,name,label,cfac_code,Province,District,Province_code,District_code,CFAC_Name,ao
village_list,AF3012_Gerdai Baghran_Sar Shalmen,Sar Shalmen,AF3012_Gerdai Baghran,Hilmand,Baghran,AF30,AF3012,Gerdai Baghran,KANAO
village_list,AF3012_Gerdai Baghran_Sar Shelmen,Sar Shelmen,AF3012_Gerdai Baghran,Hilmand,Baghran,AF30,AF3012,Gerdai Baghran,KANAO
village_list,AF2716_2_Baloch_Sara Ghondai,Sara Ghondai,AF2716_2_Baloch,Kandahar,Takhtapul,AF27,AF2716_2,Baloch,KANAO
village_list,AF2607_Hazar Booz_Sara Kala,Sara Kala,AF2607_Hazar Booz,Zabul,Daychopan,AF26,AF2607,Hazar Booz,KANAO
village_list,AF2607_Shoi_Sara Kala,Sara Kala,AF2607_Shoi,Zabul,Daychopan,AF26,AF2607,Shoi,KANAO
village_list,AF2610_Saragai_Sara Khola,Sara Khola,AF2610_Saragai,Zabul,Shamul Zayi,AF26,AF2610,Saragai,KANAO
village_list,AF3008_Kotozai_Saragara,Saragara,AF3008_Kotozai,Hilmand,Sangin,AF30,AF3008,Kotozai,KANAO
village_list,AF3012_Sarbaghni_Sarbaghni Abdul Bari Masjed,Sarbaghni Abdul Bari Masjed,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sarbaghni Abo Masjid,Sarbaghni Abo Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sarbaghni Askari Aka Masjid,Sarbaghni Askari Aka Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sarbaghni Boorlala Masjid,Sarbaghni Boorlala Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sarbaghni Fizullah Masjid,Sarbaghni Fizullah Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sarbaghni Ghzwali Masjed,Sarbaghni Ghzwali Masjed,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sarbaghni Jumh Jan Masjid,Sarbaghni Jumh Jan Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sarbaghni Mnan Aka Masjid,Sarbaghni Mnan Aka Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sarbaghni Mohammadlal Masjid,Sarbaghni Mohammadlal Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF2506_Langar Sorkh Diwal_Sarbaghni Najbdin Masjid,Sarbaghni Najbdin Masjid,AF2506_Langar Sorkh Diwal,Uruzgan,Chinarto,AF25,AF2506,Langar Sorkh Diwal,KANAO
village_list,AF3012_Sarbaghni_Sarbaghni Najbdin Masjid,Sarbaghni Najbdin Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sarbaghni Ragran Abdul Razeq Masjed,Sarbaghni Ragran Abdul Razeq Masjed,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sarbaghni Sayed Masjid,Sarbaghni Sayed Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sarbaghni Zamari Masjid,Sarbaghni Zamari Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF2505_Qadam Shali_Sarbghni Ghozwali Masjid,Sarbghni Ghozwali Masjid,AF2505_Qadam Shali,Uruzgan,Khas Uruzgan,AF25,AF2505,Qadam Shali,KANAO
village_list,AF3012_Sarbaghni_Sarbghni Ghozwali Masjid,Sarbghni Ghozwali Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF2505_Matakzai_Sarbghni Gul Mohammad Masjid,Sarbghni Gul Mohammad Masjid,AF2505_Matakzai,Uruzgan,Khas Uruzgan,AF25,AF2505,Matakzai,KANAO
